[2025-09-03 08:54:44] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:55:22] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:55:57] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:55:57] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:56:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:56:06] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:56:27] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:56:55] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:58:53] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:58:53] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:58:58] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:03] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:06] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:08] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:10] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:13] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:13] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:17] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:22] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:22] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:22] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:22] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:27] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:27] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:31] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:36] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:37] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:41] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:43] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:48] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:52] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 08:59:53] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 08:59:59] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
[2025-09-03 09:00:02] [info] [IP: 127.0.0.1] Sistema inicializado - Ambiente: development, IP: 127.0.0.1
[2025-09-03 09:00:02] [info] [IP: ::1] Sistema inicializado - Ambiente: development, IP: ::1
